v_new,v_old,count,fuel_old,fuel_new,area_ha
27,14,0,BN01,PL09,0
27,30,0,DX01,PL09,0
27,31,0,DX02,PL09,0
27,32,0,SV01,PL09,0
29,3,0,PCH3,PL11,0
29,4,0,PCH4,PL11,0
29,5,0,PCH5,PL11,0
29,8,0,MT03,PL11,0
29,9,0,MT04,PL11,0
29,13,0,MT08,PL11,0
29,14,0,BN01,PL11,0
29,18,0,BN05,PL11,0
29,30,0,DX01,PL11,0
29,31,0,DX02,PL11,0
29,32,0,SV01,PL11,0
29,33,0,SV02,PL11,0
30,3,0,PCH3,DX01,0
30,4,0,PCH4,DX01,0
30,6,0,MT01,DX01,0
30,8,0,MT03,DX01,0
30,9,0,MT04,DX01,0
30,11,0,MT06,DX01,0
30,12,0,MT07,DX01,0
30,13,0,MT08,DX01,0
30,14,0,BN01,DX01,0
30,20,0,PL02,DX01,0
30,23,0,PL05,DX01,0
30,27,0,PL09,DX01,0
30,28,0,PL10,DX01,0
30,31,0,DX02,DX01,0
30,32,0,SV01,DX01,0
30,33,0,SV02,DX01,0
30,34,0,SV03,DX01,0
31,31,0,DX02,DX02,0
32,4,0,PCH4,SV01,0
32,13,0,MT08,SV01,0
32,25,0,PL07,SV01,0
32,31,0,DX02,SV01,0
34,3,0,PCH3,SV03,0
34,4,0,PCH4,SV03,0
34,5,0,PCH5,SV03,0
34,6,0,MT01,SV03,0
34,8,0,MT03,SV03,0
34,9,0,MT04,SV03,0
34,13,0,MT08,SV03,0
34,14,0,BN01,SV03,0
34,18,0,BN05,SV03,0
34,21,0,PL03,SV03,0
34,28,0,PL10,SV03,0
34,31,0,DX02,SV03,0
